x,y,radius
1293.0,3740.0,2.8181818181818183
1041.0,3706.0,3.2727272727272725
1786.0,3594.0,3.727272727272727
1856.0,3642.0,2.8181818181818183
2227.0,4005.0,2.3636363636363633
1944.0,3777.0,2.3636363636363633
2988.0,2341.0,2.3636363636363633
2239.0,3348.0,3.2727272727272725
1089.0,3988.0,2.3636363636363633
1360.0,3192.0,2.8181818181818183
1201.0,3751.0,2.3636363636363633
1962.0,3204.0,2.8181818181818183
1442.0,3094.0,3.2727272727272725
2926.0,3155.0,3.727272727272727
2745.0,1173.0,4.636363636363637
1689.0,3230.0,2.3636363636363633
1993.0,3721.0,2.3636363636363633
2959.0,2137.0,2.3636363636363633
1665.0,3093.0,3.727272727272727
1916.0,3141.0,2.3636363636363633
1305.0,3550.0,2.8181818181818183
723.0,3819.0,2.3636363636363633
2829.0,1011.0,2.3636363636363633
2549.0,876.0,2.8181818181818183
2108.0,3835.0,2.3636363636363633
1228.0,3370.0,2.3636363636363633
1789.0,3050.0,2.8181818181818183
686.0,465.0,2.8181818181818183
1022.0,3562.0,2.3636363636363633
2895.0,2315.0,2.8181818181818183
2965.0,2204.0,2.3636363636363633
1591.0,3962.0,2.3636363636363633
782.0,482.0,2.3636363636363633
1754.0,3345.0,2.3636363636363633
2106.0,3251.0,2.3636363636363633
2948.0,1887.0,2.3636363636363633
2918.0,3152.0,2.8181818181818183
2954.0,1340.0,2.3636363636363633
132.0,3637.0,2.8181818181818183
1190.0,3196.0,2.3636363636363633
2931.0,295.0,5.090909090909091
2077.0,3622.0,2.3636363636363633
2392.0,3530.0,1.9090909090909092
2590.0,944.0,2.8181818181818183
741.0,550.0,2.8181818181818183
1962.0,3112.0,2.3636363636363633
1682.0,510.0,2.3636363636363633
1867.0,3713.0,2.3636363636363633
2921.0,2918.0,2.3636363636363633
609.0,3833.0,2.3636363636363633
1384.0,707.0,2.8181818181818183
2756.0,3038.0,2.3636363636363633
2620.0,2976.0,2.3636363636363633
846.0,545.0,2.8181818181818183
2540.0,876.0,2.3636363636363633
2521.0,3182.0,2.3636363636363633
2018.0,3126.0,2.3636363636363633
2738.0,1172.0,3.2727272727272725
2580.0,944.0,1.9090909090909092
1999.0,3566.0,2.3636363636363633
654.0,477.0,2.3636363636363633
2957.0,2203.0,1.9090909090909092
1835.0,2991.0,2.8181818181818183
2189.0,3168.0,2.3636363636363633
2597.0,2411.0,2.3636363636363633
2661.0,67.0,2.3636363636363633
1971.0,3062.0,2.3636363636363633
635.0,3365.0,2.8181818181818183
2887.0,2313.0,2.3636363636363633
1058.0,3052.0,2.8181818181818183
635.0,2924.0,2.8181818181818183
1416.0,3571.0,2.3636363636363633
2559.0,1995.0,2.3636363636363633
837.0,545.0,2.3636363636363633
2001.0,993.0,2.8181818181818183
2644.0,2400.0,1.9090909090909092
2448.0,1284.0,3.2727272727272725
2451.0,2035.0,2.3636363636363633
2584.0,2233.0,2.3636363636363633
1361.0,3450.0,1.9090909090909092
1923.0,3298.0,2.3636363636363633
3000.0,3483.0,2.3636363636363633
2841.0,2999.0,2.3636363636363633
2612.0,2974.0,1.9090909090909092
1970.0,3092.0,2.8181818181818183
2510.0,2429.0,2.3636363636363633
2012.0,2823.0,3.727272727272727
1179.0,40.0,2.3636363636363633
2438.0,1229.0,2.3636363636363633
29.0,901.0,2.3636363636363633
2589.0,2410.0,1.9090909090909092
2057.0,3100.0,2.3636363636363633
691.0,2782.0,2.8181818181818183
2820.0,1010.0,1.9090909090909092
2779.0,2968.0,2.3636363636363633
2568.0,1996.0,2.8181818181818183
1812.0,2854.0,3.727272727272727
2324.0,2073.0,2.3636363636363633
150.0,2579.0,2.3636363636363633
225.0,917.0,2.8181818181818183
2974.0,3380.0,1.9090909090909092
1911.0,3246.0,2.3636363636363633
1516.0,929.0,2.3636363636363633
1170.0,40.0,1.9090909090909092
555.0,243.0,2.8181818181818183
2652.0,2402.0,2.3636363636363633
816.0,893.0,2.3636363636363633
2440.0,2397.0,2.3636363636363633
2028.0,3119.0,2.3636363636363633
1685.0,3669.0,2.3636363636363633
545.0,242.0,1.9090909090909092
874.0,3644.0,1.9090909090909092
1698.0,4004.0,1.9090909090909092
2980.0,2339.0,1.9090909090909092
2502.0,2428.0,1.9090909090909092
1384.0,2850.0,2.8181818181818183
2402.0,2810.0,2.3636363636363633
2924.0,295.0,2.8181818181818183
2570.0,2021.0,2.3636363636363633
2440.0,1283.0,2.8181818181818183
2769.0,2019.0,1.9090909090909092
2378.0,1942.0,2.3636363636363633
2180.0,1166.0,2.3636363636363633
2018.0,2974.0,2.8181818181818183
677.0,465.0,2.3636363636363633
2313.0,3438.0,2.8181818181818183
2426.0,2967.0,2.3636363636363633
420.0,3361.0,2.3636363636363633
1376.0,707.0,1.9090909090909092
1093.0,911.0,2.3636363636363633
1673.0,510.0,1.9090909090909092
2151.0,2850.0,2.8181818181818183
773.0,482.0,1.9090909090909092
1228.0,3357.0,2.3636363636363633
2075.0,4022.0,2.3636363636363633
2242.0,93.0,2.3636363636363633
1792.0,3338.0,2.3636363636363633
20.0,901.0,1.9090909090909092
2905.0,2907.0,2.3636363636363633
1326.0,3269.0,2.3636363636363633
2006.0,3792.0,1.9090909090909092
2316.0,2072.0,1.9090909090909092
1714.0,1030.0,2.3636363636363633
1995.0,3704.0,1.9090909090909092
2090.0,3081.0,2.3636363636363633
1929.0,3085.0,2.3636363636363633
1403.0,957.0,1.9090909090909092
2455.0,2340.0,2.3636363636363633
2119.0,3187.0,1.9090909090909092
2227.0,2000.0,2.3636363636363633
2963.0,1952.0,1.9090909090909092
2833.0,2996.0,2.3636363636363633
455.0,1400.0,2.3636363636363633
2360.0,1851.0,2.3636363636363633
70.0,1545.0,2.8181818181818183
2537.0,3047.0,2.3636363636363633
2971.0,1954.0,1.9090909090909092
2456.0,2116.0,1.9090909090909092
2261.0,3143.0,2.3636363636363633
2102.0,3963.0,1.9090909090909092
2328.0,2732.0,2.3636363636363633
697.0,3128.0,2.3636363636363633
1249.0,3694.0,1.9090909090909092
2500.0,1875.0,1.9090909090909092
1889.0,3272.0,2.3636363636363633
2562.0,2020.0,1.9090909090909092
1847.0,2965.0,2.3636363636363633
1230.0,3184.0,2.3636363636363633
2090.0,1701.0,2.8181818181818183
2950.0,2135.0,1.9090909090909092
2514.0,1947.0,2.3636363636363633
2252.0,2469.0,2.3636363636363633
59.0,1546.0,2.3636363636363633
1723.0,866.0,2.3636363636363633
216.0,917.0,2.3636363636363633
2335.0,1783.0,1.9090909090909092
2353.0,1924.0,1.9090909090909092
2680.0,2371.0,1.9090909090909092
2402.0,3698.0,2.3636363636363633
1136.0,2873.0,2.8181818181818183
2196.0,2249.0,3.727272727272727
971.0,3623.0,1.9090909090909092
2219.0,2000.0,2.3636363636363633
1237.0,3631.0,1.9090909090909092
2331.0,3706.0,2.3636363636363633
579.0,3124.0,1.9090909090909092
2063.0,1808.0,2.3636363636363633
2996.0,2370.0,1.9090909090909092
664.0,2380.0,3.2727272727272725
2696.0,3253.0,2.3636363636363633
737.0,3161.0,2.8181818181818183
2290.0,3073.0,2.8181818181818183
937.0,3206.0,1.9090909090909092
2675.0,2385.0,2.3636363636363633
429.0,3502.0,2.3636363636363633
918.0,2712.0,2.3636363636363633
1214.0,3098.0,2.3636363636363633
1011.0,2990.0,2.3636363636363633
263.0,1892.0,2.3636363636363633
143.0,2580.0,1.9090909090909092
849.0,1449.0,2.3636363636363633
1877.0,3561.0,1.9090909090909092
1940.0,3910.0,1.9090909090909092
